name,bus0,bus1,x,r,b,s_nom
line_0,1,2,0.06,0.02,0.03,130.0
line_1,1,3,0.19,0.05,0.02,130.0
line_2,2,4,0.17,0.06,0.02,65.0
line_3,3,4,0.04,0.01,0.0,130.0
line_4,2,5,0.2,0.05,0.02,130.0
line_5,2,6,0.18,0.06,0.02,65.0
line_6,4,6,0.04,0.01,0.0,90.0
line_7,5,7,0.12,0.05,0.01,70.0
line_8,6,7,0.08,0.03,0.01,130.0
line_9,6,8,0.04,0.01,0.0,32.0
line_10,6,9,0.21,0.0,0.0,65.0
line_11,6,10,0.56,0.0,0.0,32.0
line_12,9,11,0.21,0.0,0.0,65.0
line_13,9,10,0.11,0.0,0.0,65.0
line_14,4,12,0.26,0.0,0.0,65.0
line_15,12,13,0.14,0.0,0.0,65.0
line_16,12,14,0.26,0.12,0.0,32.0
line_17,12,15,0.13,0.07,0.0,32.0
line_18,12,16,0.2,0.09,0.0,32.0
line_19,14,15,0.2,0.22,0.0,16.0
line_20,16,17,0.19,0.08,0.0,16.0
line_21,15,18,0.22,0.11,0.0,16.0
line_22,18,19,0.13,0.06,0.0,16.0
line_23,19,20,0.07,0.03,0.0,32.0
line_24,10,20,0.21,0.09,0.0,32.0
line_25,10,17,0.08,0.03,0.0,32.0
line_26,10,21,0.07,0.03,0.0,32.0
line_27,10,22,0.15,0.07,0.0,32.0
line_28,21,22,0.02,0.01,0.0,32.0
line_29,15,23,0.2,0.1,0.0,16.0
line_30,22,24,0.18,0.12,0.0,16.0
line_31,23,24,0.27,0.13,0.0,16.0
line_32,24,25,0.33,0.19,0.0,16.0
line_33,25,26,0.38,0.25,0.0,16.0
line_34,25,27,0.21,0.11,0.0,16.0
line_35,28,27,0.4,0.0,0.0,65.0
line_36,27,29,0.42,0.22,0.0,16.0
line_37,27,30,0.6,0.32,0.0,16.0
line_38,29,30,0.45,0.24,0.0,16.0
line_39,8,28,0.2,0.06,0.02,32.0
line_40,6,28,0.06,0.02,0.01,32.0
