name,bus,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch,control,type
100_220kV Pumped Hydro,100_220kV,144.5,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
114 Pumped Hydro,114,138.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
121 Pumped Hydro,121,238.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
140 Pumped Hydro,140,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
141 Pumped Hydro,141,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
158 Pumped Hydro,158,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
166 Pumped Hydro,166,1.5,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
205 Pumped Hydro,205,153.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
228 Pumped Hydro,228,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
235 Pumped Hydro,235,470.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
25 Pumped Hydro,25,196.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
266 Pumped Hydro,266,98.8,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
268 Pumped Hydro,268,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
279_220kV Pumped Hydro,279_220kV,1045.2,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
293 Pumped Hydro,293,377.6,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
320 Pumped Hydro,320,90.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
32_220kV Pumped Hydro,32_220kV,220.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
333 Pumped Hydro,333,525.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
342 Pumped Hydro,342,79.7,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
343 Pumped Hydro,343,1052.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
362_220kV Pumped Hydro,362_220kV,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
368 Pumped Hydro,368,910.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
374 Pumped Hydro,374,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
379 Pumped Hydro,379,39.8,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
389 Pumped Hydro,389,164.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
397 Pumped Hydro,397,144.5,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
423 Pumped Hydro,423,360.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
424 Pumped Hydro,424,295.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
479 Pumped Hydro,479,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
481 Pumped Hydro,481,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
493 Pumped Hydro,493,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
51 Pumped Hydro,51,623.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
63 Pumped Hydro,63,43.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
66 Pumped Hydro,66,127.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
72 Pumped Hydro,72,198.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
78_220kV Pumped Hydro,78_220kV,79.8,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
8 Pumped Hydro,8,119.1,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
98 Pumped Hydro,98,247.0,Pumped Hydro,3.0,6.0,0.95,0.95,PQ,
