name,bus,p_set
load_2,2,7.39
load_4,4,1.7
load_6,6,7.95
load_8,8,23.74
load_10,10,42.68
load_12,12,0.3
load_13,13,2.52
load_16,16,44.76
load_18,18,0.71
load_19,19,0.77
load_20,20,1.13
load_21,21,4.61
load_23,23,1.41
load_24,24,2.4
load_26,26,1.35
load_28,28,2.33
load_30,30,59.09
load_32,32,0.51
load_33,33,6.44
load_35,35,20.76
load_37,37,3.57
load_38,38,29.81
load_39,39,7.41
load_40,40,2.04
load_41,41,38.34
load_42,42,10.62
load_43,43,2.09
load_44,44,4.15
load_46,46,6.34
load_47,47,1.54
load_48,48,1.82
load_54,54,2.66
load_56,56,1.31
load_57,57,2.82
load_58,58,4.23
load_59,59,4.73
load_60,60,3.8
load_61,61,20.55
load_62,62,21.41
load_63,63,7.98
load_74,74,18.76
load_75,75,3.6
load_80,80,1.48
load_82,82,7.6
load_83,83,3.14
load_84,84,3.75
load_85,85,4.83
load_86,86,8.25
load_88,88,49.34
load_89,89,62.85
load_93,93,3.06
load_95,95,3.0
load_96,96,2.96
load_97,97,7.33
load_99,99,12.17
load_100,100,37.39
load_101,101,0.52
load_106,106,2.06
load_107,107,52.56
load_108,108,9.42
load_109,109,5.16
load_110,110,10.86
load_111,111,8.82
load_117,117,34.08
load_118,118,3.94
load_119,119,17.55
load_120,120,1.8
load_122,122,15.44
load_129,129,77.24
load_130,130,4.4
load_131,131,30.25
load_132,132,26.96
load_137,137,1.16
load_138,138,2.09
load_139,139,6.84
load_140,140,8.21
load_141,141,1.42
load_142,142,37.26
load_143,143,26.78
load_144,144,9.05
load_145,145,17.54
load_148,148,32.02
load_157,157,14.76
load_158,158,8.97
load_159,159,1.39
load_162,162,1.45
load_163,163,45.8
load_171,171,7.94
load_172,172,5.38
load_173,173,8.71
load_174,174,2.77
load_175,175,7.31
load_176,176,19.01
load_177,177,11.29
load_179,179,23.61
load_180,180,7.74
load_181,181,47.98
load_184,184,10.69
load_185,185,10.79
load_186,186,2.1
load_190,190,16.79
load_191,191,7.23
load_192,192,52.74
load_193,193,21.99
load_194,194,37.57
load_198,198,5.37
load_199,199,4.26
load_200,200,9.34
