name,bus0,bus1,s_nom,x,type,model
2,2,2_220kV,2000.0,0.1,,t
5,5,5_220kV,2000.0,0.1,,t
10,10,10_220kV,2000.0,0.1,,t
12,12,12_220kV,2000.0,0.1,,t
13,13,13_220kV,2000.0,0.1,,t
15,15,15_220kV,2000.0,0.1,,t
18,18,18_220kV,2000.0,0.1,,t
20,20,20_220kV,2000.0,0.1,,t
22,22,22_220kV,2000.0,0.1,,t
24,24,24_220kV,2000.0,0.1,,t
26,26,26_220kV,2000.0,0.1,,t
30,30,30_220kV,2000.0,0.1,,t
32,32,32_220kV,2000.0,0.1,,t
37,37,37_220kV,2000.0,0.1,,t
42,42,42_220kV,2000.0,0.1,,t
46,46,46_220kV,2000.0,0.1,,t
52,52,52_220kV,2000.0,0.1,,t
56,56,56_220kV,2000.0,0.1,,t
61,61,61_220kV,2000.0,0.1,,t
68,68,68_220kV,2000.0,0.1,,t
69,69,69_220kV,2000.0,0.1,,t
74,74,74_220kV,2000.0,0.1,,t
78,78,78_220kV,2000.0,0.1,,t
86,86,86_220kV,2000.0,0.1,,t
87,87,87_220kV,2000.0,0.1,,t
94,94,94_220kV,2000.0,0.1,,t
95,95,95_220kV,2000.0,0.1,,t
96,96,96_220kV,2000.0,0.1,,t
99,99,99_220kV,2000.0,0.1,,t
100,100,100_220kV,2000.0,0.1,,t
104,104,104_220kV,2000.0,0.1,,t
105,105,105_220kV,2000.0,0.1,,t
106,106,106_220kV,2000.0,0.1,,t
107,107,107_220kV,2000.0,0.1,,t
117,117,117_220kV,2000.0,0.1,,t
120,120,120_220kV,2000.0,0.1,,t
123,123,123_220kV,2000.0,0.1,,t
124,124,124_220kV,2000.0,0.1,,t
125,125,125_220kV,2000.0,0.1,,t
128,128,128_220kV,2000.0,0.1,,t
129,129,129_220kV,2000.0,0.1,,t
138,138,138_220kV,2000.0,0.1,,t
143,143,143_220kV,2000.0,0.1,,t
156,156,156_220kV,2000.0,0.1,,t
157,157,157_220kV,2000.0,0.1,,t
159,159,159_220kV,2000.0,0.1,,t
160,160,160_220kV,2000.0,0.1,,t
165,165,165_220kV,2000.0,0.1,,t
184,184,184_220kV,2000.0,0.1,,t
191,191,191_220kV,2000.0,0.1,,t
195,195,195_220kV,2000.0,0.1,,t
201,201,201_220kV,2000.0,0.1,,t
220,220,220_220kV,2000.0,0.1,,t
231,231,231_220kV,2000.0,0.1,,t
232,232,232_220kV,2000.0,0.1,,t
233,233,233_220kV,2000.0,0.1,,t
236,236,236_220kV,2000.0,0.1,,t
247,247,247_220kV,2000.0,0.1,,t
248,248,248_220kV,2000.0,0.1,,t
250,250,250_220kV,2000.0,0.1,,t
251,251,251_220kV,2000.0,0.1,,t
252,252,252_220kV,2000.0,0.1,,t
261,261,261_220kV,2000.0,0.1,,t
263,263,263_220kV,2000.0,0.1,,t
264,264,264_220kV,2000.0,0.1,,t
267,267,267_220kV,2000.0,0.1,,t
272,272,272_220kV,2000.0,0.1,,t
279,279,279_220kV,2000.0,0.1,,t
281,281,281_220kV,2000.0,0.1,,t
282,282,282_220kV,2000.0,0.1,,t
292,292,292_220kV,2000.0,0.1,,t
303,303,303_220kV,2000.0,0.1,,t
307,307,307_220kV,2000.0,0.1,,t
308,308,308_220kV,2000.0,0.1,,t
312,312,312_220kV,2000.0,0.1,,t
315,315,315_220kV,2000.0,0.1,,t
317,317,317_220kV,2000.0,0.1,,t
322,322,322_220kV,2000.0,0.1,,t
332,332,332_220kV,2000.0,0.1,,t
334,334,334_220kV,2000.0,0.1,,t
336,336,336_220kV,2000.0,0.1,,t
338,338,338_220kV,2000.0,0.1,,t
351,351,351_220kV,2000.0,0.1,,t
353,353,353_220kV,2000.0,0.1,,t
360,360,360_220kV,2000.0,0.1,,t
362,362,362_220kV,2000.0,0.1,,t
382,382,382_220kV,2000.0,0.1,,t
384,384,384_220kV,2000.0,0.1,,t
385,385,385_220kV,2000.0,0.1,,t
391,391,391_220kV,2000.0,0.1,,t
403,403,403_220kV,2000.0,0.1,,t
404,404,404_220kV,2000.0,0.1,,t
413,413,413_220kV,2000.0,0.1,,t
421,421,421_220kV,2000.0,0.1,,t
450,450,450_220kV,2000.0,0.1,,t
458,458,458_220kV,2000.0,0.1,,t
