name,bus,p_nom,carrier,marginal_cost
gen_0,49,4.53,thermal,19.0
gen_1,50,4.53,thermal,19.0
gen_2,51,4.53,thermal,19.0
gen_3,52,4.53,thermal,19.0
gen_4,53,9.07,thermal,19.0
gen_5,65,86.5,thermal,1.0
gen_6,67,4.7,thermal,19.0
gen_7,68,27.92,thermal,19.0
gen_8,69,27.92,thermal,19.0
gen_9,70,27.92,thermal,19.0
gen_10,71,27.92,thermal,19.0
gen_11,72,27.92,thermal,19.0
gen_12,73,27.92,thermal,19.0
gen_13,76,4.0,thermal,23.157
gen_14,77,2.4,thermal,23.146
gen_15,78,18.0,thermal,23.252
gen_16,79,18.0,thermal,23.252
gen_17,90,3.2,thermal,23.152
gen_18,91,5.0,thermal,23.164
gen_19,92,6.3,thermal,23.173
gen_20,94,18.0,thermal,19.0
gen_21,104,67.6,thermal,1.0
gen_22,105,154.8,thermal,1.0
gen_23,114,1.4,thermal,1.0
gen_24,115,133.5,thermal,1.0
gen_25,125,130.05,thermal,19.0
gen_26,126,130.05,thermal,19.0
gen_27,127,130.05,thermal,19.0
gen_28,135,446.4,thermal,19.0
gen_29,136,446.4,thermal,19.0
gen_30,147,92.4,thermal,1.0
gen_31,151,5.4,thermal,19.0
gen_32,152,77.22,thermal,19.0
gen_33,153,77.22,thermal,19.0
gen_34,154,77.22,thermal,19.0
gen_35,155,77.22,thermal,19.0
gen_36,161,138.6,thermal,24.07
gen_37,164,12.0,thermal,23.211
gen_38,165,26.0,thermal,23.306
gen_39,166,9.4,thermal,23.194
gen_40,167,9.4,thermal,23.194
gen_41,168,9.4,thermal,23.194
gen_42,169,9.4,thermal,23.194
gen_43,170,9.4,thermal,23.194
gen_44,182,17.5,thermal,19.0
gen_45,183,26.6,thermal,19.0
gen_46,189,569.15,thermal,6.71
gen_47,196,67.5,thermal,23.588
gen_48,197,67.5,thermal,23.588
