name,bus0,bus1,x,r,b,s_nom
line_0,2,1,0.003339,0.000673,0.0,100.0
line_1,1,119,0.119758,0.018542,0.02285,221.1
line_2,124,1,0.036268,0.005615,0.00692,221.1
line_3,193,1,0.027501,0.004258,0.00525,221.1
line_4,4,3,0.003303,0.000573,0.0,100.0
line_5,57,3,0.058098,0.008505,0.00988,221.1
line_6,3,137,0.038035,0.005889,0.00726,221.1
line_7,6,5,0.003337,0.000694,0.0,100.0
line_8,48,5,0.043513,0.006246,0.00711,221.1
line_9,5,64,0.054875,0.007877,0.00897,221.1
line_10,8,7,0.003189,0.000634,0.0,100.0
line_11,7,86,0.024259,0.003756,0.00463,221.1
line_12,7,101,0.023232,0.003597,0.00443,221.1
line_13,7,148,0.05598,0.008667,0.01068,221.1
line_14,10,9,0.003967,0.000585,0.0,100.0
line_15,9,124,0.055123,0.008069,0.00938,221.1
line_16,131,9,0.026732,0.004139,0.0051,221.1
line_17,9,141,0.03097,0.004446,0.00506,221.1
line_18,9,193,0.025244,0.003695,0.00429,221.1
line_19,12,11,0.003533,0.000534,0.0,100.0
line_20,13,11,0.003606,0.000619,0.0,100.0
line_21,11,15,0.06722,0.010408,0.01282,221.1
line_22,11,93,0.128141,0.018394,0.02095,221.1
line_23,158,11,0.058199,0.008519,0.0099,221.1
line_24,15,14,0.027526,0.000637,0.0,300.0
line_25,14,121,0.050098,0.007013,0.09134,402.36
line_26,14,149,0.065244,0.009133,0.11895,402.36
line_27,16,15,0.0032,0.000553,0.0,100.0
line_28,18,17,0.003926,0.000503,0.0,100.0
line_29,19,17,0.003079,0.000514,0.0,100.0
line_30,20,17,0.003339,0.000623,0.0,100.0
line_31,21,17,0.00394,0.00062,0.0,100.0
line_32,109,17,0.068198,0.009789,0.01115,221.1
line_33,17,120,0.070473,0.010316,0.01199,221.1
line_34,23,22,0.003222,0.000616,0.0,100.0
line_35,24,22,0.003067,0.000687,0.0,100.0
line_36,22,27,0.073494,0.011379,0.01402,221.1
line_37,158,22,0.086769,0.012701,0.01476,221.1
line_38,26,25,0.003071,0.00061,0.0,100.0
line_39,25,64,0.053244,0.007643,0.0087,221.1
line_40,199,25,0.064003,0.009909,0.01221,221.1
line_41,28,27,0.003964,0.000587,0.0,100.0
line_42,27,93,0.175362,0.025172,0.02867,221.1
line_43,27,158,0.131945,0.020429,0.02517,221.1
line_44,30,29,0.003131,0.000694,0.0,100.0
line_45,124,29,0.038742,0.005561,0.00633,221.1
line_46,29,140,0.055004,0.007895,0.00899,221.1
line_47,32,31,0.003884,0.000667,0.0,100.0
line_48,33,31,0.003639,0.000528,0.0,100.0
line_49,177,31,0.05856,0.008406,0.00957,221.1
line_50,192,31,0.05525,0.008088,0.0094,221.1
line_51,35,34,0.003674,0.000575,0.0,100.0
line_52,34,54,0.042819,0.006268,0.00729,221.1
line_53,34,137,0.044639,0.006911,0.00852,221.1
line_54,37,36,0.003328,0.000552,0.0,100.0
line_55,38,36,0.003511,0.00067,0.0,100.0
line_56,58,36,0.07439,0.010889,0.01266,221.1
line_57,83,36,0.066986,0.009615,0.01095,221.1
line_58,40,39,0.003103,0.000505,0.0,100.0
line_59,39,85,0.060625,0.008702,0.00991,221.1
line_60,159,39,0.05108,0.007332,0.00835,221.1
line_61,41,100,0.029676,0.004595,0.00566,221.1
line_62,41,163,0.021623,0.003165,0.00368,221.1
line_63,41,180,0.060766,0.009408,0.01159,221.1
line_64,44,42,0.085383,0.012256,0.01396,221.1
line_65,181,42,0.05579,0.008008,0.00912,221.1
line_66,43,84,0.051295,0.007509,0.00873,221.1
line_67,43,132,0.075503,0.011052,0.01285,221.1
line_68,44,200,0.101195,0.014813,0.01722,221.1
line_69,46,45,0.049195,0.000936,0.0,160.0
line_70,55,45,0.018527,0.002593,0.03378,402.36
line_71,102,45,0.020715,0.0029,0.03777,402.36
line_72,45,187,0.024821,0.003474,0.04525,402.36
